LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.1,59934.1294088895
AUT,Austria,7.2,53267.9327491132
BEL,Belgium,6.8,51767.7885723646
CAN,Canada,7,52051.3514647093
CZE,Czech Republic,6.9,26378.4999575477
DNK,Denmark,7.5,67803.0471046403
FIN,Finland,7.9,53982.6142735261
FRA,France,6.7,43518.5385130851
DEU,Germany,7.3,50801.7867105308
GRC,Greece,5.8,20276.5446744075
HUN,Hungary,6,18772.6732920667
ISL,Iceland,7.6,68383.7653362902
IRL,Ireland,7,99152.1025718236
ITA,Italy,6.5,35551.2849900071
JPN,Japan,6.1,39285.1631062756
KOR,Korea,5.8,34757.7200705078
LUX,Luxembourg,7.4,135682.794274648
MEX,Mexico,6,9926.42276755436
NLD,Netherlands,7.5,58061.0016679359
NZL,New Zealand,7.3,48801.6851279674
NOR,Norway,7.3,89202.7505381438
POL,Poland,6.1,17840.9210506674
PRT,Portugal,5.8,24262.1809352574
SVK,Slovak Republic,6.5,21087.8461010057
ESP,Spain,6.5,30115.7058866792
SWE,Sweden,7.3,60238.9865644922
CHE,Switzerland,7.5,93457.4403976155
TUR,TÃ¼rkiye,4.9,9586.61245005597
GBR,United Kingdom,6.8,47334.3553149875
USA,United States,7,69287.5365879523
BRA,Brazil,6.1,7518.83428432838
CHL,Chile,6.2,16502.8385709035
EST,Estonia,6.5,27280.6584396993
ISR,Israel,7.2,51430.0796810561
LVA,Latvia,6.2,20642.1679221253
RUS,Russia,5.5,12172.78515625
SVN,Slovenia,6.5,29200.8198783863
ZAF,South Africa,4.9,6994.21165355675